사용일자,노선명,역명,하차총승객수
202001,6호선,역촌,2284
202001,6호선,응암,9341
202001,7호선,부평구청,3983
202001,7호선,굴포천,4720
202001,7호선,삼산체육관,2043
202001,7호선,상동,6914
202001,7호선,부천시청,5755
202001,7호선,신중동,5614
202001,7호선,춘의,3295
202001,7호선,부천종합운동장,1906
202001,7호선,까치울,3282
202001,7호선,온수(성공회대입구),4049
202001,7호선,천왕,4009
202001,7호선,광명사거리,13078
202001,7호선,철산,10483
202001,7호선,가산디지털단지,10506
202001,7호선,남구로,7748
202001,7호선,대림(구로구청),8590
202001,7호선,신풍,5349
202001,7호선,보라매,3783
202001,7호선,신대방삼거리,7086
202001,7호선,장승배기,4692
202001,7호선,상도,5089
202001,7호선,숭실대입구(살피재),5654
202001,7호선,남성,5232
202001,7호선,이수,7441
202001,7호선,내방,4217
202001,7호선,고속터미널,8223
202001,7호선,반포,2716
202001,7호선,논현,5505
202001,7호선,학동,4441
202001,7호선,강남구청,3802
202001,7호선,청담,6240
202001,7호선,뚝섬유원지,3983
202001,7호선,건대입구,9179
202001,7호선,어린이대공원(세종대),5607
202001,7호선,군자(능동),5506
202001,7호선,중곡,4313
202001,7호선,용마산,3095
202001,7호선,사가정,8016
202001,7호선,면목,7299
202001,7호선,상봉(시외버스터미널),8004
202001,7호선,중화,5209
202001,7호선,먹골,4810
202001,7호선,태릉입구,3803
202001,7호선,공릉(서울과학기술대),5847
202001,7호선,하계,8370
202001,7호선,중계,6157
202001,7호선,노원,9960
202001,7호선,마들,5435
202001,7호선,수락산,6564
202001,7호선,도봉산,5811
202001,7호선,장암,524
202001,8호선,모란,2103
202001,8호선,수진,3118
202001,8호선,신흥,3257
202001,8호선,단대오거리,5044
202001,8호선,남한산성입구(성남법원.검찰청),5950
202001,8호선,산성,3023
202001,8호선,복정,3672
202001,8호선,장지,10821
202001,8호선,문정,4645
202001,8호선,가락시장,3551
202001,8호선,송파,4117
202001,8호선,석촌,4422
202001,8호선,잠실(송파구청),13225
202001,8호선,몽촌토성(평화의문),3439
202001,8호선,강동구청,4486
202001,8호선,천호(풍납토성),10239
202001,8호선,암사,8171
202001,9호선,중앙보훈병원,2864
202001,9호선,둔촌오륜,354
202001,9호선,올림픽공원(한국체대),2475
202001,9호선,한성백제,1185
202001,9호선,송파나루,2100
202001,9호선,석촌,2750
202001,9호선,석촌고분,2525
202001,9호선,삼전,3037
202001,9호선,종합운동장,1780
202001,9호선,봉은사,10456
202001,9호선,삼성중앙,1713
202001,9호선,선정릉,2396
202001,9호선,언주,2794
202001,9호선,신논현,14954
202001,9호선,사평,1213
202001,9호선,고속터미널,13501
202001,9호선,신반포,1057
202001,9호선,구반포,1079
202001,9호선,동작(현충원),1414
202001,9호선,흑석(중앙대입구),4288
202001,9호선,노들,1990
202001,9호선,노량진,18069
202001,9호선,샛강,1611
202001,9호선,여의도,4455
202001,9호선,국회의사당,3571
202001,9호선,당산,7744
202001,9호선,선유도,2652
202001,9호선,신목동,1378
202001,9호선,염창,7578
202001,9호선,등촌,4258
202001,9호선,증미,3343
202001,9호선,가양,9185
202001,9호선,양천향교,4075
202001,9호선,마곡나루,4453
202001,9호선,신방화,3107
202001,9호선,공항시장,1815
202001,9호선,김포공항,10298
202001,9호선,개화,940
202001,1호선,서울역,53548
202001,1호선,시청,28347
202001,1호선,종각,47433
202001,1호선,종로3가,34261
202001,1호선,종로5가,28619
202001,1호선,동대문,13486
202001,1호선,신설동,15858
202001,1호선,제기동,21151
202001,1호선,청량리(서울시립대입구),24717
202001,1호선,동묘앞,9305
202001,2호선,시청,28535
202001,2호선,을지로입구,57431
202001,2호선,을지로3가,26176
202001,2호선,을지로4가,15329
202001,2호선,동대문역사문화공원,21538
202001,2호선,신당,16169
202001,2호선,상왕십리,15076
202001,2호선,왕십리(성동구청),16132
202001,2호선,한양대,10642
202001,2호선,뚝섬,22905
202001,2호선,성수,37434
202001,2호선,건대입구,46534
202001,2호선,구의(광진구청),25974
202001,2호선,강변(동서울터미널),40991
202001,2호선,잠실나루,17256
202001,2호선,잠실(송파구청),86659
202001,2호선,잠실새내,25618
202001,2호선,종합운동장,9665
202001,2호선,삼성(무역센터),65186
202001,2호선,선릉,57187
202001,2호선,역삼,63435
202001,2호선,강남,116820
202001,2호선,교대(법원.검찰청),45591
202001,2호선,서초,23790
202001,2호선,방배,20496
202001,2호선,사당,46697
202001,2호선,낙성대,30124
202001,2호선,서울대입구(관악구청),53026
202001,2호선,봉천,25145
202001,2호선,신림,71278
202001,2호선,신대방,28633
202001,2호선,구로디지털단지,70880
202001,2호선,대림(구로구청),30196
202001,2호선,신도림,58568
202001,2호선,문래,23762
202001,2호선,영등포구청,25568
202001,2호선,당산,24982
202001,2호선,합정,35979
202001,2호선,홍대입구,85293
202001,2호선,신촌,49261
202001,2호선,이대,18422
202001,2호선,아현,10658
202001,2호선,충정로(경기대입구),12320
202001,2호선,용답,2689
202001,2호선,신답,1932
202001,2호선,신설동,3804
202001,2호선,도림천,1523
202001,2호선,양천구청,8200
202001,2호선,신정네거리,10827
202001,2호선,용두(동대문구청),2673
202001,3호선,지축,2097
202001,3호선,구파발,22075
202001,3호선,연신내,41453
202001,3호선,불광,20089
202001,3호선,녹번,13308
202001,3호선,홍제,18524
202001,3호선,무악재,4476
202001,3호선,독립문,8249
202001,3호선,경복궁(정부서울청사),24658
202001,3호선,안국,27464
202001,3호선,종로3가,14862
202001,3호선,을지로3가,13470
202001,3호선,충무로,0
202001,3호선,동대입구,11550
202001,3호선,약수,14270
202001,3호선,금호,8683
202001,3호선,옥수,10659
202001,3호선,압구정,41515
202001,3호선,신사,39068
202001,3호선,잠원,6637
202001,3호선,고속터미널,51160
202001,3호선,교대(법원.검찰청),10798
202001,3호선,남부터미널(예술의전당),35037
202001,3호선,양재(서초구청),46934
202001,3호선,매봉,12524
202001,3호선,도곡,6160
202001,3호선,대치,13476
202001,3호선,학여울,2010
202001,3호선,대청,10082
202001,3호선,일원,11140
202001,3호선,수서,18996
202001,3호선,가락시장,10228
202001,3호선,경찰병원,9184
202001,3호선,오금,6404
202001,4호선,당고개,12455
202001,4호선,상계,19360
202001,4호선,노원,26162
202001,4호선,창동,31702
202001,4호선,쌍문,30621
202001,4호선,수유(강북구청),38988
202001,4호선,미아(서울사이버대학),16133
202001,4호선,미아사거리,31386
202001,4호선,길음,22456
202001,4호선,성신여대입구(돈암),23118
202001,4호선,한성대입구(삼선교),14343
202001,4호선,혜화,40950
202001,4호선,동대문,23361
202001,4호선,동대문역사문화공원,21396
202001,4호선,충무로,34614
202001,4호선,명동,41037
202001,4호선,회현(남대문시장),33801
202001,4호선,서울역,23785
202001,4호선,숙대입구(갈월),15695
202001,4호선,삼각지,5993
202001,4호선,신용산,19138
202001,4호선,이촌(국립중앙박물관),9710
202001,4호선,동작(현충원),2727
