호선,역번호,역      명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
7,2719,태릉입구(7),91642,79235,112442,113514,135905,104649,98209,92445,101891,113128,109348,104406
7,2720,먹골,165112,139853,167067,168844,174595,157069,160006,154576,149145,168014,166576,167303
7,2721,중화,163687,138878,167862,170298,178830,157980,162566,155631,152356,168918,164046,165722
7,2722,상봉(7),245975,212705,254360,250420,256340,238493,247554,237091,226257,252956,251975,261181
7,2723,면목,248727,214659,283033,287471,288525,256779,251107,244033,253319,281595,273094,263338
7,2724,사가정,250482,216723,262898,262825,267650,244791,251697,238767,232722,258954,253127,259086
7,2725,용마산,100558,86281,107032,107434,110159,100632,102571,96707,96836,108738,103825,102704
7,2726,중곡,165646,142661,173643,173787,176185,163389,170331,160358,158481,176370,172517,172438
7,2727,군자(7),137763,116275,140718,141377,141691,133236,140922,132942,126207,140621,137872,142303
7,2728,어린이대공원,203118,180253,312989,340483,354259,266145,206809,205829,273423,308553,296412,275051
7,2729,건대입구(7),177950,156252,200127,189634,200770,180139,178908,173036,170395,185286,192108,197749
7,2730,뚝섬유원지,105327,93416,121145,163209,229271,157619,143517,156954,159188,175352,117624,109344
7,2731,청담,282561,234257,284876,289610,289020,264461,282017,260863,249492,288919,285799,288504
7,2732,강남구청,188947,155200,188965,191165,192864,177873,188558,175648,167532,192259,191363,191304
7,2733,학동,335363,268753,325526,332693,333024,303805,334374,311942,299631,342085,341222,340462
7,2734,논현,246645,198984,235955,237792,238192,222195,247567,232329,215262,239392,238828,248757
7,2735,반포,66285,56817,69477,71083,74818,69038,70998,68778,67156,73723,71851,72635
7,2736,고속터미널(7),210056,183156,213726,212769,219599,204339,207120,205095,197625,224248,216774,219753
7,2737,내방,202121,164695,199958,204799,205276,185666,201679,185633,178658,201817,196785,198744
7,2738,이수(7),236401,197727,237153,233681,238464,225847,241231,230544,213577,237293,236256,246887
7,2739,남성,167444,141633,178055,178383,179108,162729,167342,159301,157481,173636,170283,167517
7,2740,숭실대입구,179836,148290,262210,263380,264189,208957,177483,165289,229550,243091,243920,211433
7,2741,상도,128172,109830,164682,163965,169558,146715,138614,131130,148287,160541,162872,151231
7,2742,장승배기,136507,114946,138728,139470,138967,129459,135202,129473,123025,136140,132264,134336
7,2743,신대방삼거리,211643,178632,217882,219900,221348,202915,211946,199085,194757,216203,212255,213067
7,2744,보라매,120325,100801,126375,131613,134288,122107,126644,116304,112048,128765,127352,128576
