NO,지역,성별,나이,자동차,대중교통,택시,비용,경험,인지,한정도입,완전도입,가구원수,월소득
149,b,F,2,0,4,1,1,1,2,1,1,2,2
150,b,F,4,0,4,1,1,0,2,1,1,2,2
151,b,M,4,1,2,1,0,0,1,1,0,1,0
153,b,M,4,1,2,0,0,1,1,0,0,1,0
157,b,M,5,1,2,1,0,0,2,0,0,4,0
158,d,M,5,1,4,0,2,0,1,1,1,4,2
159,d,M,5,1,2,1,2,0,3,0,1,5,2
160,b,M,3,1,2,1,1,0,2,0,0,3,0
161,c,M,5,1,3,0,2,0,2,1,1,2,2
163,b,F,4,0,3,1,0,0,2,1,1,3,1
164,d,F,2,0,4,2,0,0,1,1,1,2,0
165,d,F,4,1,2,0,0,0,2,1,1,4,2
166,c,F,5,1,3,1,2,0,2,1,1,5,2
167,b,M,2,1,3,1,2,1,3,1,1,1,0
169,b,M,2,1,2,1,1,0,2,1,1,4,2
170,e,M,3,1,3,1,2,1,4,1,1,3,1
171,c,M,5,1,4,1,1,0,1,1,0,4,2
172,d,F,3,0,2,0,0,0,2,0,1,4,1
173,b,F,4,1,2,1,0,0,1,1,1,4,2
174,e,F,5,1,3,1,2,0,2,1,1,4,2
175,b,M,3,0,4,1,2,0,2,1,1,2,0
177,c,M,4,0,3,1,0,1,2,0,1,3,0
178,b,F,5,1,1,0,0,0,2,1,0,4,2
179,e,M,3,1,3,1,1,0,3,1,1,3,1
180,b,M,4,1,3,2,2,0,2,1,1,4,1
181,d,M,3,1,4,2,2,0,2,1,1,2,2
182,c,M,2,0,4,1,2,1,2,1,1,4,1
183,d,F,3,1,2,3,2,1,2,1,1,3,2
186,c,M,3,0,4,2,1,1,1,0,1,3,0
187,a,M,5,1,2,0,1,0,3,1,1,4,1
188,a,M,3,1,1,2,2,1,2,1,1,1,1
189,b,F,5,0,3,0,2,0,2,1,1,3,0
190,b,F,3,0,4,0,1,1,3,1,1,3,1
191,c,M,5,1,2,0,0,0,2,0,0,4,2
192,b,F,4,0,4,2,2,0,2,1,1,2,0
193,d,F,4,1,2,0,0,0,2,1,1,4,1
194,b,M,2,1,3,0,0,0,1,1,1,3,2
